SubjectID,Phase,Skin Conductance (microS)_mean,Skin Conductance (microS)_std,Skin Conductance (microS)_min,Skin Conductance (microS)_max,Phasic Skin Conductance (a.u.)_mean,Phasic Skin Conductance (a.u.)_std,Phasic Skin Conductance (a.u.)_min,Phasic Skin Conductance (a.u.)_max,Tonic Skin Conductance (a.u.)_mean,Tonic Skin Conductance (a.u.)_std,Tonic Skin Conductance (a.u.)_min,Tonic Skin Conductance (a.u.)_max,Skin Conductance Phasic Driver (a.u.)_mean,Skin Conductance Phasic Driver (a.u.)_std,Skin Conductance Phasic Driver (a.u.)_min,Skin Conductance Phasic Driver (a.u.)_max,Heart Rate (bpm)_mean,Heart Rate (bpm)_std,Heart Rate (bpm)_min,Heart Rate (bpm)_max,Emotional Index (a.u.)_mean,Emotional Index (a.u.)_std,Emotional Index (a.u.)_min,Emotional Index (a.u.)_max,Sympathovagal Balance (a.u.)_mean,Sympathovagal Balance (a.u.)_std,Sympathovagal Balance (a.u.)_min,Sympathovagal Balance (a.u.)_max,Arousal,Restoration,Valence
36,Tram,1.1291456797235022,0.0476020126932513,1.0772,1.2466,0.0128572231682027,0.0219403800579744,0.00018267,0.11653,1.1162919988479263,0.0572298588940104,0.96644,1.235,0.0040604941082258,0.0137475841603668,1.4315e-07,0.16001,80.20505999423963,7.217735368196113,59.09943,106.4358,0.1069528067108294,0.3992077565184225,-0.99748,0.99662,2.389045639400922,1.245147684057576,0.78884,5.0138,3.0,3.0,2.0
36,Trivulziana,1.24059763986014,0.0555430537225141,1.1639,1.4074,0.0237277666171328,0.0287968726405364,0.00067698,0.19001,1.2168666083916084,0.0440745821056419,1.1502,1.3097,0.0053993349990821,0.0121081735875451,4.5836e-07,0.098895,75.7458158479021,9.245342625645074,57.50067,102.1407,0.0930157517482517,0.9315583077297936,-0.99996,0.99976,2.8469376748251745,0.8313093253663968,1.5715,4.291,2.0,3.0,3.0
36,U3,1.2295542993630575,0.0884005966015433,1.1082,1.4373,0.0256828394267515,0.033958106230445,0.00035145,0.15457,1.203865525477707,0.0816449658216989,1.0358,1.3712,0.0066955635413694,0.017362530483183,4.5447e-07,0.14183,76.99559363853503,9.837994466268682,58.92941,102.7842,0.1319220199044586,0.895494045862776,-0.99999,0.99961,2.7791377388535032,0.7851240372536358,1.4583,4.9768,1.0,2.0,1.0
36,U4,1.225429272151899,0.1102831527937387,1.0394,1.4194,0.0100299220648734,0.009761738383184,0.00045862,0.048358,1.21539960443038,0.1092580943797391,1.0289,1.3873,0.0028454934847151,0.0087360862381777,5.3093e-07,0.081495,78.68811149525317,9.088666904768983,58.7451,104.9449,0.205647434335443,0.7832454061057363,-0.99998,0.99981,3.033276265822785,0.66230746997794,1.7038,4.8538,2.0,3.0,2.0
38,Baseline,0.9657676517857142,0.1097208152874817,0.87161,2.0637,0.0849787029107142,0.2426545859776104,-0.47898,1.0022,0.8807885375,0.2395889147628438,0.09258,2.0081,0.0318639680664955,0.0950979336766448,0.0,0.75254,77.98392088392856,14.397958840975758,55.75654,103.0582,-0.01849945,0.5287393991469859,-0.99729,0.99956,2.5194391375,1.672967435701579,0.52223,5.63491,0.0,2.0,-2.0
38,Cafe,1.350422685185185,0.0693447679469718,1.234,1.5268,0.0559032037037037,0.0325135819300863,0.010691,0.14794,1.2945128086419753,0.0539386637699373,1.1899,1.4255,0.0192670116243518,0.0376455414703551,1.5986e-07,0.28052,96.31795638888887,4.928254843347355,86.8769,107.8603,0.6583750771604938,0.0494383789273851,0.58863,0.78134,5.717107160493828,2.518865145758834,2.59461,11.1954,0.0,2.0,-1.0
38,Crosswalk,1.761874736842105,0.0729970435893792,1.6202,1.8918,0.0662400909210526,0.0496604015357778,0.0035136,0.1867,1.695643947368421,0.0536820335632023,1.619,1.8115,0.0203937364468157,0.0428844003252264,1.2599e-07,0.37323,105.78536082894738,5.809220326071588,95.89988,116.8337,0.5742832763157895,0.0298236413491506,0.51629,0.63717,4.541152947368421,2.3822940481043013,2.25583,12.9981,1.0,2.0,2.0
38,Square,1.5178975,0.0546107628048939,1.4035,1.6451,0.1162290696428571,0.033789498921941,0.034256,0.18106,1.4016735714285713,0.0540968066351097,1.304,1.4847,0.0334585409021071,0.0547167724502605,1.1332e-07,0.3898,96.93321753571428,3.343995877268358,87.35439,102.8222,0.6147634464285715,0.074329071347043,0.49755,0.75636,1.924098857142857,0.3763912677504134,1.1358,2.74329,1.0,2.0,0.0
38,Tram,2.4900449353448275,0.1989447541561536,2.1699,2.9538,0.1842477909482758,0.1550807079215574,0.010361,0.64299,2.30583739224138,0.1017556079336327,2.1108,2.4645,0.05576413382157,0.1131933125542406,9.3276e-08,0.88802,94.5623133297414,7.858814514375851,75.08422,108.6224,0.4529902999892241,0.1465059883817988,-0.090056,0.79692,4.313672744612069,1.4394125513615372,0.486862,7.43922,-1.0,1.0,-1.0
38,Trivulziana,2.1375947580645165,0.1769904016479335,1.9731,2.7408,0.1611718235887096,0.1789240388697724,0.0051178,0.67668,1.976457258064516,0.0697482134577465,1.8287,2.0722,0.0548234702174032,0.1182553044026832,6.3048e-08,0.78134,99.41861066532256,4.663472358416112,92.00809,108.5869,0.4879807459677419,0.0473549592471685,0.3903,0.55967,7.282472217741936,2.2955116742554718,4.48295,12.3628,0.0,2.0,1.0
38,U3,2.112640725806452,0.0971767163845262,1.9494,2.4036,0.128203061827957,0.0816407497098473,0.025527,0.39502,1.9844314516129031,0.0454556613869998,1.8951,2.0516,0.0396758749230107,0.0843163015104327,1.5873e-07,0.5893,96.02550206989248,8.822111807791446,69.71759,110.2152,0.6319793010752689,0.3140933933368687,-0.9997,0.99395,5.532466836021506,1.7544913177433563,0.503917,8.05958,0.0,2.0,0.0
38,U4,2.418275416666667,0.0786291943783872,2.2896,2.6633,0.1039831583333333,0.0776281809394924,0.0087822,0.37744,2.3142816666666666,0.0760415527361143,2.2032,2.4182,0.0252743737968125,0.0543239529043441,2.2541e-07,0.36685,100.73472939583333,5.673294948709587,89.80755,107.9074,0.6256210208333334,0.0471495306321333,0.54109,0.70442,4.8411550625,1.1171729676612605,3.23089,7.89468,1.0,1.0,0.0
