SubjectID,Phase,Skin Conductance (microS)_mean,Skin Conductance (microS)_std,Skin Conductance (microS)_min,Skin Conductance (microS)_max,Phasic Skin Conductance (a.u.)_mean,Phasic Skin Conductance (a.u.)_std,Phasic Skin Conductance (a.u.)_min,Phasic Skin Conductance (a.u.)_max,Tonic Skin Conductance (a.u.)_mean,Tonic Skin Conductance (a.u.)_std,Tonic Skin Conductance (a.u.)_min,Tonic Skin Conductance (a.u.)_max,Skin Conductance Phasic Driver (a.u.)_mean,Skin Conductance Phasic Driver (a.u.)_std,Skin Conductance Phasic Driver (a.u.)_min,Skin Conductance Phasic Driver (a.u.)_max,Heart Rate (bpm)_mean,Heart Rate (bpm)_std,Heart Rate (bpm)_min,Heart Rate (bpm)_max,Emotional Index (a.u.)_mean,Emotional Index (a.u.)_std,Emotional Index (a.u.)_min,Emotional Index (a.u.)_max,Sympathovagal Balance (a.u.)_mean,Sympathovagal Balance (a.u.)_std,Sympathovagal Balance (a.u.)_min,Sympathovagal Balance (a.u.)_max
64,Cafe,1.482787699468085,0.058896061352815055,1.3109,1.6237,0.10830944015957447,0.06606462137833946,0.014456,0.26984,1.3744821143617023,0.07023924370704636,1.1448,1.504,0.0322315170967254,0.06146326359127803,5.9456e-08,0.6278,79.16845214760637,9.575147245266221,66.75678,117.5675,0.05823626430851064,0.10330638043419252,-0.2224,0.34165,2.305412081781915,0.8819448545657382,0.915572,4.88546
64,Crosswalk,1.9581888655462185,0.10781550399992806,1.5659,2.1941,0.1969071055672269,0.14294344570099493,0.034826,0.80942,1.7612820378151262,0.20990193774998772,1.156,1.939,0.05695669712554832,0.11769577236910775,2.9154e-08,1.2142,78.42485744222688,5.892883172079872,64.41742,103.3659,0.2624142745387815,0.3028376598284322,-0.97584,0.9796,2.120990605042017,0.8398565055406934,0.793168,4.71206
64,Square,1.5946603472222223,0.11605555008669413,1.374,1.9417,0.18341602361111112,0.07527321650770419,0.061747,0.39818,1.4112509722222222,0.14196446265824766,1.119,1.7327,0.056986171627916665,0.10356894609685473,4.2768e-08,0.89714,79.61826008333333,7.423716815252082,67.93069,110.0754,0.07062684529583334,0.14761577205232662,-0.10944,0.8417,2.1155136805555554,1.0906506565099487,1.07375,5.36087
64,Tram,2.707398289473684,0.14717025360743183,2.4339,3.0192,0.23891998859649122,0.1445680076960182,0.034392,0.71703,2.4684833771929826,0.1527509458601328,2.1436,2.7784,0.0721052249141921,0.14086942665469135,2.208e-08,1.3323,77.9821903245614,5.909881912927273,64.59786,102.7512,0.19247927888289473,0.30677712943552116,-0.17448,0.99067,2.6328033640350874,1.032754869082091,1.25272,5.51942
64,Trivulziana,2.496433899456522,0.11969292604615778,2.2866,2.8639,0.24836766915760872,0.11031075377404688,0.083135,0.68988,2.248057133152174,0.08739371653269083,2.0485,2.4702,0.0719211682975034,0.14108709853646037,8.3066e-08,1.3719,79.83970205163043,6.09796201670748,66.31605,104.1909,0.504039299673913,0.43775862133585036,-0.99974,0.99887,2.2053987241847826,1.3585640267494141,0.804878,6.55264
64,U3,2.3701151533018865,0.11216363152251684,2.0943,2.6829,0.28359725353773585,0.10110806458802805,0.061589,0.56693,2.0865107900943394,0.11102894648357078,1.8278,2.2995,0.08672834506130424,0.1560391655378922,5.481e-08,1.5707,80.36430675707547,6.304638284763028,69.4489,104.7674,0.5818748728007075,0.4592402586004258,-0.99896,0.9998,3.6352145106132077,2.2365986142155787,1.26154,11.0638
64,U4,2.4018040284360187,0.3076009106500235,2.0412,3.0745,0.2893419182464455,0.22476083107051723,0.025651,0.82751,2.1124644549763034,0.14830605362149377,1.8118,2.5338,0.08720393639224526,0.17474189232124346,3.5474e-08,1.6784,78.29811085308056,5.893628585552722,63.37076,103.1152,0.07386744521682465,0.18951086754421667,-0.18468,0.86472,1.5783970420616114,0.5419389370572525,0.888336,3.3083
67,Baseline,3.0603080291970803,0.19036358816231042,2.6502,3.6505,0.1201745467609489,0.09205035501577158,-0.0040131,0.36632,2.940144160583942,0.15886082672339158,2.5741,3.2912,0.04052414559677807,0.10297973552192989,0.0,1.1053,78.50254172445256,6.285603682258795,68.75568,99.49997,-0.2059542355839416,0.5563349728247574,-0.99937,0.99974,2.070790288321168,1.0535291762738108,0.835134,6.38504
67,Cafe,3.800054102760736,0.4751574552895715,2.9072,5.3408,0.2987424371165644,0.27309970167505104,0.013451,1.5367,3.5013224693251535,0.3183142843877735,2.725,3.9429,0.09087665004362981,0.2127000739954872,4.9134e-11,2.205,78.57185651457056,4.748675781646951,69.46591,101.3948,-0.06504617076380367,0.5913146151326163,-0.99968,0.99852,2.011354544095092,1.2215985925139476,0.7621,8.49836
67,Crosswalk,5.674452039007092,0.3205366811353244,5.1816,6.8711,0.6288723315602837,0.3568481467680484,0.20721,2.0129,5.045563297872341,0.1676758619378605,4.6143,5.2274,0.19692114509055186,0.34011971503024657,9.0282e-11,3.4166,83.00417535460993,5.638931252971707,70.30069,101.9653,0.3948813741134752,0.7206724827209491,-0.99958,0.99949,3.4775242907801416,1.769469306942156,0.877541,10.1595
67,Square,4.444627073732719,0.4075212992206226,3.9997,6.326,0.5052379032258064,0.2958236284409315,0.11365,1.6236,3.9394040898617515,0.22095799076646158,3.4338,4.7602,0.15455547411859508,0.2880334158620101,3.8682e-11,2.5897,78.2931984735023,5.628138990114556,67.32232,98.88509,0.0006125298905529953,0.314731528987991,-0.99308,0.99899,2.376088773041475,0.7890018145987793,1.12543,5.53611
67,Tram,6.9257058003597125,0.6631530047629521,5.6667,8.6757,0.6137783071043165,0.44849283340247825,0.02703,2.3371,6.311929001798561,0.3499357229451677,5.2863,6.7494,0.17673455796546353,0.27642285784478754,1.2939e-11,2.6928,83.93581441996403,3.972162804077669,72.68617,96.38745,0.4200751954001799,0.4431775870281632,-0.99937,0.99957,2.1247474442446044,0.699484002726843,0.748072,4.99338
67,Trivulziana,6.468786544585988,0.3649547903700236,5.7803,7.5278,0.8334830334394904,0.3108776167138117,0.24978,1.7947,5.635295302547771,0.28193967027562533,4.9517,6.0008,0.2476745948336751,0.35538257212594887,3.6984e-11,2.4546,83.63512208598726,5.710536881416085,73.48271,100.0265,0.4121739653343949,0.5664547970674413,-0.99952,0.99988,2.108140883757962,0.7047207634686518,1.05371,4.33608
